App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver,Avg_Compound,Avg_Positive,Avg_Neutral,Avg_Negative,Sentiment,Positive_Count,Neutral_Count,Negative_Count,Total_Reviews
Photo Editor & Candy Camera & Grid & ScrapBook,ART_AND_DESIGN,4.1,159,19.0,10000,Free,0.0,Everyone,Art & Design,"January 7, 2018",1.0.0,4.0.3 and up,,,,,Unknown,,,,
Coloring book moana,ART_AND_DESIGN,3.9,967,14.0,500000,Free,0.0,Everyone,Art & Design;Pretend Play,"January 15, 2018",2.0.0,4.0.3 and up,0.20147727272727273,0.5414090909090908,0.2848181818181818,0.17377272727272727,Positive,26.0,6.0,12.0,44.0
"U Launcher Lite – FREE Live Cool Themes, Hide Apps",ART_AND_DESIGN,4.7,87510,8.7,5000000,Free,0.0,Everyone,Art & Design,"August 1, 2018",1.2.4,4.0.3 and up,,,,,Unknown,,,,
Sketch - Draw & Paint,ART_AND_DESIGN,4.5,215644,25.0,50000000,Free,0.0,Teen,Art & Design,"June 8, 2018",Varies with device,4.2 and up,,,,,Unknown,,,,
Pixel Draw - Number Art Coloring Book,ART_AND_DESIGN,4.3,967,2.8,100000,Free,0.0,Everyone,Art & Design;Creativity,"June 20, 2018",1.1,4.4 and up,,,,,Unknown,,,,
Paper flowers instructions,ART_AND_DESIGN,4.4,167,5.6,50000,Free,0.0,Everyone,Art & Design,"March 26, 2017",1.0,2.3 and up,,,,,Unknown,,,,
Smoke Effect Photo Maker - Smoke Editor,ART_AND_DESIGN,3.8,178,19.0,50000,Free,0.0,Everyone,Art & Design,"April 26, 2018",1.1,4.0.3 and up,,,,,Unknown,,,,
Infinite Painter,ART_AND_DESIGN,4.1,36815,29.0,1000000,Free,0.0,Everyone,Art & Design,"June 14, 2018",6.1.61.1,4.2 and up,,,,,Unknown,,,,
Garden Coloring Book,ART_AND_DESIGN,4.4,13791,33.0,1000000,Free,0.0,Everyone,Art & Design,"September 20, 2017",2.9.2,3.0 and up,0.5219744444444444,0.5411777777777778,0.40149999999999997,0.057355555555555555,Positive,75.0,8.0,7.0,90.0
Kids Paint Free - Drawing Fun,ART_AND_DESIGN,4.7,121,3.1,10000,Free,0.0,Everyone,Art & Design;Creativity,"July 3, 2018",2.8,4.0.3 and up,,,,,Unknown,,,,
Text on Photo - Fonteee,ART_AND_DESIGN,4.4,13880,28.0,1000000,Free,0.0,Everyone,Art & Design,"October 27, 2017",1.0.4,4.1 and up,,,,,Unknown,,,,
Name Art Photo Editor - Focus n Filters,ART_AND_DESIGN,4.4,8788,12.0,1000000,Free,0.0,Everyone,Art & Design,"July 31, 2018",1.0.15,4.0 and up,,,,,Unknown,,,,
Tattoo Name On My Photo Editor,ART_AND_DESIGN,4.2,44829,20.0,10000000,Free,0.0,Teen,Art & Design,"April 2, 2018",3.8,4.1 and up,,,,,Unknown,,,,
Mandala Coloring Book,ART_AND_DESIGN,4.6,4326,21.0,100000,Free,0.0,Everyone,Art & Design,"June 26, 2018",1.0.4,4.4 and up,,,,,Unknown,,,,
3D Color Pixel by Number - Sandbox Art Coloring,ART_AND_DESIGN,4.4,1518,37.0,100000,Free,0.0,Everyone,Art & Design,"August 3, 2018",1.2.3,2.3 and up,,,,,Unknown,,,,
Photo Designer - Write your name with shapes,ART_AND_DESIGN,4.7,3632,5.5,500000,Free,0.0,Everyone,Art & Design,"July 31, 2018",3.1,4.1 and up,,,,,Unknown,,,,
350 Diy Room Decor Ideas,ART_AND_DESIGN,4.5,27,17.0,10000,Free,0.0,Everyone,Art & Design,"November 7, 2017",1.0,2.3 and up,,,,,Unknown,,,,
FlipaClip - Cartoon animation,ART_AND_DESIGN,4.3,194216,39.0,5000000,Free,0.0,Everyone,Art & Design,"August 3, 2018",2.2.5,4.0.3 and up,0.911825,0.38575000000000004,0.56125,0.05325,Positive,4.0,0.0,0.0,4.0
ibis Paint X,ART_AND_DESIGN,4.6,224399,31.0,10000000,Free,0.0,Everyone,Art & Design,"July 30, 2018",5.5.4,4.1 and up,,,,,Unknown,,,,
Logo Maker - Small Business,ART_AND_DESIGN,4.0,450,14.0,100000,Free,0.0,Everyone,Art & Design,"April 20, 2018",4.0,4.1 and up,,,,,Unknown,,,,
Boys Photo Editor - Six Pack & Men's Suit,ART_AND_DESIGN,4.1,654,12.0,100000,Free,0.0,Everyone,Art & Design,"March 20, 2018",1.1,4.0.3 and up,0.2291421052631579,0.5108421052631579,0.3815,0.1076578947368421,Positive,25.0,7.0,6.0,38.0
Superheroes Wallpapers | 4K Backgrounds,ART_AND_DESIGN,4.7,7699,4.2,500000,Free,0.0,Everyone 10+,Art & Design,"July 12, 2018",2.2.6.2,4.0.3 and up,,,,,Unknown,,,,
HD Mickey Minnie Wallpapers,ART_AND_DESIGN,4.7,118,23.0,50000,Free,0.0,Everyone,Art & Design,"July 7, 2018",1.1.3,4.1 and up,,,,,Unknown,,,,
Harley Quinn wallpapers HD,ART_AND_DESIGN,4.8,192,6.0,10000,Free,0.0,Everyone,Art & Design,"April 25, 2018",1.5,3.0 and up,,,,,Unknown,,,,
Colorfit - Drawing & Coloring,ART_AND_DESIGN,4.7,20260,25.0,500000,Free,0.0,Everyone,Art & Design;Creativity,"October 11, 2017",1.0.8,4.0.3 and up,0.5928894736842105,0.300921052631579,0.6047368421052631,0.09436842105263157,Positive,34.0,1.0,3.0,38.0
