Feature,Importance
Reviews,0.2885180772685234
Size,0.2406571089020722
Installs,0.10726326126131167
Price,0.022495214349314188
Category_FAMILY,0.011279132759575188
Genres_Education,0.011266526055042336
Genres_Entertainment,0.010754922310073427
Content Rating_Everyone,0.010107054641146291
Genres_Tools,0.008882779853733681
Avg_Compound,0.008697928907969875
Category_TOOLS,0.008614720681506408
Genres_Lifestyle,0.00793646857654163
Genres_Medical,0.00786193108304772
Category_MEDICAL,0.007190571848419741
Content Rating_Teen,0.006981393462340402
Category_BUSINESS,0.006914306094914398
Category_LIFESTYLE,0.006653847581350812
Genres_Business,0.006550112553097096
Genres_Health & Fitness,0.006504942244113006
Category_FINANCE,0.005973702187655103
Category_HEALTH_AND_FITNESS,0.005875793491684698
Genres_Finance,0.005696962715008379
Genres_Photography,0.0054237452967848985
Content Rating_Mature 17+,0.005378636368234514
Genres_Dating,0.0053004202899155075
Genres_Casual,0.005296754075295189
Category_SPORTS,0.005059655540291347
Genres_Simulation,0.005049803976025613
Content Rating_Everyone 10+,0.0049002121973071725
Category_PHOTOGRAPHY,0.004897513390227012
Category_GAME,0.004891221893645392
Category_DATING,0.004886553014962278
Genres_Sports,0.004859770715535636
Genres_News & Magazines,0.004846030899229663
Genres_Trivia,0.00481901015416202
Category_NEWS_AND_MAGAZINES,0.004456376706047801
Category_COMMUNICATION,0.004434025004454043
Category_PRODUCTIVITY,0.004314188868853646
Genres_Productivity,0.004144849307410217
Genres_Communication,0.0041125416875327616
Genres_Video Players & Editors,0.003758940658631338
Genres_Travel & Local,0.0035622045171316125
Genres_Educational,0.003482628302358505
Genres_Food & Drink,0.003449877080685222
Type_Free,0.0033454968364814985
Genres_Personalization,0.003319283780930759
Category_SHOPPING,0.0031707853380489766
Category_MAPS_AND_NAVIGATION,0.003159736856088816
Genres_Shopping,0.003137344010330621
Category_TRAVEL_AND_LOCAL,0.0030882171402392623
Genres_Maps & Navigation,0.003082286362302452
Category_VIDEO_PLAYERS,0.003061051669554607
Category_PERSONALIZATION,0.0030533605278459637
Category_AUTO_AND_VEHICLES,0.00302288068102063
Type_Paid,0.003003681107566247
Genres_Auto & Vehicles,0.0029446310484599336
Category_FOOD_AND_DRINK,0.002886636704774673
Genres_Card,0.002880362255152314
Genres_Strategy,0.0028347458921375215
Category_SOCIAL,0.00274534095622444
Genres_Action,0.002715361974260472
Category_BOOKS_AND_REFERENCE,0.0025932472559068503
Genres_Books & Reference,0.0025761766818072408
Genres_Social,0.00235056166108699
Genres_Arcade,0.002290718374320359
Genres_Comics,0.0019365081351358515
Category_COMICS,0.0018893362875869498
Sentiment_Unknown,0.0017056812637848415
Genres_Puzzle,0.0016135609810423912
Genres_Adventure,0.0013742711160050895
Genres_Role Playing,0.0013489966619308399
Genres_Casual;Action & Adventure,0.001277572264986683
Genres_Education;Education,0.0012012412581570097
Genres_Racing,0.0011360133962277164
Genres_Board,0.0011139217479998423
Sentiment_Positive,0.0010592221561911718
Category_ART_AND_DESIGN,0.0010288355938341891
Category_PARENTING,0.0010144936042187176
Category_LIBRARIES_AND_DEMO,0.0009598276132964352
Category_EVENTS,0.0008531886533715207
Genres_Events,0.0008090401992699474
Genres_Libraries & Demo,0.0008082039938435115
Genres_Music,0.0007784592807578951
Genres_Art & Design,0.000709236135770455
Category_WEATHER,0.0006977000307656663
Genres_Educational;Education,0.0006915485661433685
