Feature,Importance
Reviews,0.2885180772685234
Size,0.2406571089020722
Installs,0.10726326126131167
Price,0.022495214349314188
Category_FAMILY,0.011279132759575188
Genres_Education,0.011266526055042336
Genres_Entertainment,0.010754922310073427
Content Rating_Everyone,0.010107054641146291
Genres_Tools,0.008882779853733681
Avg_Compound,0.008697928907969875
Category_TOOLS,0.008614720681506408
Genres_Lifestyle,0.00793646857654163
Genres_Medical,0.00786193108304772
Category_MEDICAL,0.007190571848419741
Content Rating_Teen,0.006981393462340402
Category_BUSINESS,0.006914306094914398
Category_LIFESTYLE,0.006653847581350812
Genres_Business,0.006550112553097096
Genres_Health & Fitness,0.006504942244113006
Category_FINANCE,0.005973702187655103
